id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,vocal_style,production_quality,emotional_arc
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,78,2020,sung,polished,constant
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,42,2020,instrumental,lo-fi,constant
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,65,2010,sung,polished,builds
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,38,2020,instrumental,lo-fi,minimal
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,82,2020,sung,polished,constant
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,35,2010,instrumental,polished,minimal
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,48,2015,sung,standard,constant
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,62,1980,instrumental,polished,evolves
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,40,2020,instrumental,lo-fi,constant
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,58,2015,sung,standard,builds
11,Electric Dreams,Pulse Collective,electronic,uplifting,0.87,128,0.92,0.91,0.08,75,2020,instrumental,polished,builds
12,Bach Suite No.1,Classical Ensemble,classical,meditative,0.15,65,0.58,0.12,0.98,52,1700,instrumental,polished,constant
13,Urban Beats,MC Cipher,hip-hop,energetic,0.89,98,0.68,0.84,0.15,76,2015,rapped,polished,constant
14,Dusty Roads,The Wanderers,country,melancholic,0.52,95,0.42,0.56,0.72,45,2000,sung,standard,evolves
15,Neon Thoughts,Indie Void,indie,nostalgic,0.61,105,0.64,0.68,0.43,51,2010,sung,standard,evolves
16,Island Vibes,Reggae Kings,reggae,uplifting,0.68,92,0.85,0.71,0.68,64,2015,sung,standard,constant
17,Soul Reflections,Nina Rivers,soul,nostalgic,0.48,88,0.71,0.62,0.76,55,2010,sung,polished,evolves
18,Glitch Garden,Experimental Labs,experimental,intense,0.79,115,0.51,0.73,0.19,41,2015,instrumental,avant-garde,evolves
19,Midnight Blues,The Rooters,blues,melancholic,0.55,85,0.48,0.59,0.81,46,2005,sung,standard,evolves
20,Bass Drop,Synth Mech,dubstep,dark,0.92,140,0.35,0.78,0.06,68,2010,instrumental,polished,builds
21,Retro Nights,Neon Pulse,synthwave,moody,0.72,105,0.45,0.70,0.15,65,1985,instrumental,polished,constant
22,Cyber Highway,Synth Wave,synthwave,energetic,0.85,128,0.68,0.75,0.10,70,1990,instrumental,polished,builds
23,Moonlight Sonata,Classical Ensemble,classical,melancholic,0.25,55,0.50,0.10,0.95,58,1800,instrumental,polished,evolves
24,Symphony No. 5,Classical Ensemble,classical,intense,0.70,120,0.60,0.30,0.98,75,1850,instrumental,polished,builds
25,Blue Note,Jazz Trio,jazz,melancholic,0.45,90,0.55,0.50,0.85,50,2015,sung,standard,constant
26,Smooth Jazz Nights,Jazz Ensemble,jazz,relaxed,0.40,85,0.65,0.55,0.88,52,2010,instrumental,polished,constant
27,Lonesome Highway,Country Star,country,melancholic,0.50,95,0.40,0.45,0.80,48,2005,sung,standard,evolves
28,Country Roads,Country Band,country,nostalgic,0.55,100,0.60,0.50,0.75,51,2000,sung,standard,constant
29,Deep Blues,Blues Master,blues,melancholic,0.50,80,0.45,0.55,0.82,47,2008,sung,standard,evolves
30,Ethereal Spaces,Ambient Artist,ambient,meditative,0.20,55,0.60,0.20,0.90,38,2018,instrumental,polished,minimal
31,Summer Breeze,Ocean Waves,indie,happy,0.65,108,0.80,0.70,0.55,54,2018,sung,standard,constant
32,Thunderstorm,Rock Legends,rock,intense,0.88,160,0.42,0.65,0.12,68,2015,sung,polished,builds
33,Pixel Dreams,Chiptune Masters,electronic,playful,0.72,120,0.85,0.82,0.08,46,2020,instrumental,polished,constant
34,Rainy Days,Folk Singer,folk,sad,0.38,92,0.45,0.50,0.88,41,2010,sung,standard,evolves
35,Desert Wind,Acoustic Duo,country,peaceful,0.48,100,0.62,0.45,0.82,52,2012,sung,standard,constant
36,Bass & Soul,Funk Legend,funk,energetic,0.86,110,0.78,0.88,0.25,72,2018,rapped,polished,constant
37,Starlight,Pop Queen,pop,romantic,0.60,102,0.82,0.65,0.30,75,2021,sung,polished,evolves
38,Echoes,Minimal Wave,electronic,dark,0.45,95,0.35,0.50,0.05,38,2015,instrumental,polished,evolves
39,Campfire Stories,Acoustic Band,folk,nostalgic,0.42,88,0.70,0.45,0.92,47,2008,sung,standard,constant
40,Neon Paradise,Synth Pop,synthpop,happy,0.78,124,0.86,0.81,0.12,69,2019,sung,polished,builds
41,Heavy Metal Heart,Metal Kings,metal,angry,0.94,160,0.35,0.70,0.08,61,2010,rapped,polished,builds
42,Chill Vibes,Lo-Fi Beats,lofi,chill,0.35,76,0.58,0.55,0.75,44,2022,instrumental,lo-fi,constant
43,Dancefloor Magic,House Masters,house,energetic,0.91,128,0.88,0.92,0.05,80,2020,instrumental,polished,constant
44,Melancholy Waltz,String Quartet,classical,sad,0.30,60,0.40,0.15,0.88,45,1950,instrumental,polished,constant
45,Urban Jungle,Trap Artist,hip-hop,dark,0.82,90,0.50,0.75,0.20,71,2019,rapped,polished,constant
46,Oceanic Dreams,Ambient Soundscape,ambient,peaceful,0.22,55,0.65,0.25,0.92,39,2020,instrumental,polished,minimal
47,Sunset Boulevard,Soul Singer,soul,romantic,0.55,90,0.75,0.60,0.70,58,2017,sung,polished,evolves
48,Firestorm,EDM Producer,electronic,intense,0.95,138,0.75,0.88,0.08,77,2021,instrumental,polished,builds
49,Morning Coffee,Indie Acoustic,indie,peaceful,0.40,85,0.70,0.50,0.80,48,2019,sung,standard,constant
